full_addr_,full_addr1,bld_eui,bld_eui2,log10_eui,Lighting,AirConditi,Escalator,Lift,Electrical,FoC_v,Date_FOC,retro,Storey,Basement,Unit,PM,OCor,MAC,OCom
"Kenbo Commercial Building, 335-339 Queen's Rd W, Sai Ying Pun, Hong Kong","崑保商業大廈, 香港西營盤皇后大道西335-339號",86.97,24.16,1.38309693,NO,NO,NO,NO,NO,NONE,NONE,NONE,21,0,160,yes,yes,,
"Khuan Ying Commercial Building, 85-89 Wellington St, Central, Hong Kong","群英商業大廈, 香港中環威靈頓街85-89號",114.2,31.72,1.501333179,NO,NO,NO,NO,NO,NONE,NONE,NONE,13,2,23,yes,yes,,
"Kin On Commercial Building, 49-51 Jervois St, Central, Hong Kong","建安商業大廈, 香港中環蘇杭街49-51號",106.56,29.6,1.471291711,NO,NO,NO,NO,NO,NONE,NONE,NONE,14,0,27,yes,yes,,
"Kin Wang House, 21 Wing Wo St, Sheung Wan, Hong Kong","建宏樓, 香港上環永和街21號",914.11,253.92,2.404696909,NO,NO,NO,NO,NO,NONE,NONE,NONE,5,0,5,,,,
"King Fook Building, 30-32 Des Voeux Rd C, Central, Hong Kong","景福大廈, 香港中環德輔道中30-32號",946.94,263.04,2.420021796,NO,NO,NO,NO,NO,NONE,NONE,NONE,12,0,12,yes,,,
"Kingdom Power Commercial Building, 32-36 Des Voeux Road West Hong Kong","帝權商業大樓, 香港德輔道西32-36號",108.23,30.06,1.477988976,NO,NO,NO,NO,NO,NONE,NONE,NONE,15,0,19,yes,yes,,
"Kinwick Centre, 32 Hollywood Road, Central, Hong Kong","建業榮基中心, 香港中環荷李活道32號",513.29,142.58,2.15405861,NO,NO,NO,NO,NO,NONE,NONE,NONE,27,0,54,yes,,,
"Kong Ling Building, 100-102 Jervois St, Central, Hong Kong","江寧大廈, 香港中環蘇杭街100-102號",47.32,13.14,1.118595365,NO,NO,NO,NO,NO,NONE,NONE,NONE,14,0,28,yes,,,
"Koosing Building, 187-189 Des Voeux Rd W, Sai Ying Pun, Hong Kong","高陞大廈, 香港西營盤德輔道西187-189號",82.87,23.02,1.362105319,NO,NO,NO,NO,NO,NONE,NONE,NONE,22,0,45,,yes,,
"Kowloon Dairy Building, 17-19 On Lan St, Central, Hong Kong","維記大廈, 香港中環安蘭街17-19號",583.43,162.06,2.209675835,NO,NO,NO,NO,NO,NONE,NONE,NONE,7,1,8,,,,
"Kwok Lun Commercial House, 15 Cochrane St, Central, Hong Kong","國麟商業大廈, 香港中環閣麟街15號",91.47,25.41,1.405004665,NO,NO,NO,NO,NO,NONE,NONE,NONE,9,0,27,,yes,,
"Kwong Kee Building, 229 Queen's Rd C, Sheung Wan, Hong Kong","廣記大廈, 香港上環皇后大道中229號",35.13,9.76,0.989449818,NO,NO,NO,NO,NO,NONE,NONE,NONE,7,0,9,,,,
